promedio_notas,asistencia_pct,nivel_socioeconomico,horas_trabajo_semanal,distancia_universidad_km,riesgo_academico,carga_estres,dificultad_traslado,desercion,carga_estres_norm
14.6,100.0,Bajo,11.0,9.99,Bajo,0.0,0,0,0.0
18.5,61.8,Bajo,23.0,4.51,Bajo,12.606000000000002,0,0,0.36219974715549946
5.2,59.6,Medio,26.0,20.95,Alto,10.503999999999998,1,1,0.3018043902999655
8.3,64.9,Medio,18.0,23.18,Alto,6.318,1,1,0.18153085852200898
10.6,99.0,Bajo,29.0,50.0,Bajo,0.29,1,0,0.008332375589012758
13.7,91.0,Alto,32.0,8.68,Bajo,2.88,0,0,0.08274910929778187
18.5,77.7,Medio,46.0,2.6,Bajo,10.258,0,0,0.29473623721411335
10.2,88.8,Bajo,24.0,22.72,Bajo,2.6880000000000006,1,0,0.0772325020112631
11.3,74.8,Alto,30.0,8.9,Bajo,7.560000000000001,0,0,0.21721641190667745
12.3,53.8,Medio,9.0,6.33,Bajo,4.158,0,0,0.11946902654867259
5.3,53.2,Medio,19.0,6.84,Alto,8.892,0,0,0.2554878749569015
15.4,76.5,Medio,16.0,2.18,Bajo,3.76,0,0,0.108033559360993
12.6,100.0,Medio,38.0,12.35,Bajo,0.0,0,0,0.0
14.1,96.9,Alto,47.0,10.2,Bajo,1.4569999999999974,0,0,0.04186300425238471
8.8,65.2,Bajo,25.0,1.0,Alto,8.7,0,0,0.24997126767038272
11.1,81.7,Bajo,33.0,3.58,Bajo,6.038999999999999,0,0,0.17351453855878635
11.4,70.5,Medio,36.0,1.0,Bajo,10.62,0,0,0.3051373405355706
13.5,72.3,Bajo,5.0,20.98,Bajo,1.385,1,0,0.03979427651994024
11.8,85.4,Bajo,43.0,1.33,Bajo,6.277999999999997,0,0,0.18038156533731747
14.3,74.2,Bajo,29.0,13.55,Bajo,7.481999999999999,0,0,0.21497529019652914
9.2,68.9,Bajo,19.0,1.0,Alto,5.908999999999999,0,0,0.16977933570853923
0.0,81.8,Medio,28.0,2.22,Bajo,5.096000000000001,0,0,0.14641995172968628
10.9,75.6,Bajo,37.0,5.89,Bajo,9.028000000000002,0,0,0.2593954717848524
12.5,77.9,Bajo,27.0,11.06,Bajo,5.966999999999998,0,0,0.17144581082634175
15.0,89.5,Bajo,6.0,2.22,Bajo,0.63,0,0,0.018101367658889787
11.1,69.7,Medio,31.0,4.77,Bajo,9.392999999999999,0,0,0.2698827720951615
16.8,63.4,Alto,33.0,10.07,Bajo,12.078,0,0,0.3470290771175727
11.4,77.7,Alto,39.0,27.55,Bajo,8.697,1,0,0.24988507068153087
15.8,85.8,Medio,4.0,13.21,Bajo,0.5680000000000001,0,0,0.016319963222618094
10.2,54.7,Medio,46.0,1.82,Alto,20.837999999999997,0,1,0.5987242845649925
13.8,81.9,Alto,32.0,7.58,Bajo,5.791999999999998,0,0,0.16641765314331683
17.6,70.9,Bajo,27.0,11.52,Bajo,7.856999999999998,0,0,0.22574991380301113
7.1,52.2,Bajo,12.0,20.99,Alto,5.735999999999999,1,1,0.16480864268474887
8.6,82.9,Alto,28.0,2.32,Bajo,4.7879999999999985,0,0,0.1375703942075623
10.5,78.9,Medio,44.0,4.46,Bajo,9.283999999999997,0,0,0.26675094816687733
5.6,61.5,Medio,0.0,18.3,Alto,0.0,1,0,0.0
10.3,80.3,Alto,17.0,12.76,Bajo,3.349,0,0,0.09622457188828872
14.3,74.6,Medio,23.0,13.94,Bajo,5.842000000000001,0,0,0.16785426962418118
14.7,65.0,Medio,7.0,6.82,Bajo,2.45,0,0,0.07039420756234917
8.2,58.8,Alto,8.0,3.54,Alto,3.2960000000000003,0,0,0.09470175841857259
11.5,92.5,Bajo,43.0,1.7,Bajo,3.225,0,0,0.09266176301574533
14.0,86.5,Bajo,31.0,1.85,Bajo,4.185,0,0,0.12024479944833927
17.0,97.1,Alto,38.0,6.5,Bajo,1.102000000000002,0,0,0.03166302723824854
11.1,56.5,Medio,40.0,1.63,Bajo,17.4,0,0,0.49994253534076544
12.2,44.4,Medio,38.0,16.22,Bajo,21.128,1,1,0.6070566601540054
